"rules","support","confidence","coverage","lift","count"
"{sugar} => {whole milk}",0.0150482968988307,0.444444444444444,0.0338586680223691,1.73939956669762,148
"{cream cheese} => {whole milk}",0.0164717844433147,0.415384615384615,0.0396542958820539,1.62566959502893,162
"{chicken} => {other vegetables}",0.0178952719877987,0.417061611374408,0.0429079816980173,2.15543927896337,176
"{chicken} => {whole milk}",0.0175902389425521,0.409952606635071,0.0429079816980173,1.6044106192821,173
"{white bread} => {whole milk}",0.0170818505338078,0.405797101449275,0.0420945602440264,1.58814743046304,168
"{frozen vegetables} => {whole milk}",0.0204372140315201,0.424947145877378,0.0480935434672089,1.66309398316913,201
"{beef} => {whole milk}",0.0212506354855109,0.405038759689922,0.0524656837824098,1.58517954697588,209
"{curd} => {whole milk}",0.026131164209456,0.490458015267176,0.0532791052364006,1.91948053328797,257
"{margarine} => {whole milk}",0.0241992882562278,0.413194444444444,0.0585663446873411,1.61709803466419,238
"{butter} => {whole milk}",0.02755465175394,0.497247706422018,0.0554143365531266,1.94605300145665,271
"{domestic eggs} => {whole milk}",0.0299949161159126,0.47275641025641,0.0634468734112862,1.85020266409542,295
"{whipped/sour cream} => {other vegetables}",0.0288764616166751,0.402836879432624,0.0716827656329436,2.08192365171827,284
"{whipped/sour cream} => {whole milk}",0.0322318251143874,0.449645390070922,0.0716827656329436,1.75975424247812,317
"{tropical fruit} => {whole milk}",0.0422979156075241,0.403100775193798,0.10493136756482,1.57759495584202,416
"{root vegetables} => {other vegetables}",0.047381799694967,0.434701492537313,0.108998474834774,2.2466049285888,466
"{root vegetables} => {whole milk}",0.0489069649211998,0.448694029850746,0.108998474834774,1.75603095247994,481
"{yogurt} => {whole milk}",0.0560244026436197,0.401603498542274,0.139501779359431,1.57173514053453,551
"{oil,other vegetables} => {whole milk}",0.00508388408744281,0.510204081632653,0.0099644128113879,1.99675970666818,50
"{oil,whole milk} => {other vegetables}",0.00508388408744281,0.45045045045045,0.011286222674123,2.32799799273788,50
"{onions,root vegetables} => {other vegetables}",0.00569395017793594,0.602150537634409,0.00945602440264362,3.11200763932444,56
"{onions,other vegetables} => {root vegetables}",0.00569395017793594,0.4,0.0142348754448399,3.66977611940298,56
"{onions,other vegetables} => {whole milk}",0.00660904931367565,0.464285714285714,0.0142348754448399,1.81705133306805,65
"{onions,whole milk} => {other vegetables}",0.00660904931367565,0.546218487394958,0.0120996441281139,2.82294210379895,65
"{hamburger meat,other vegetables} => {whole milk}",0.00630401626842908,0.455882352941176,0.0138281647178444,1.78416352613469,62
"{hamburger meat,whole milk} => {other vegetables}",0.00630401626842908,0.427586206896552,0.0147432638535841,2.20983202565822,62
"{hygiene articles,other vegetables} => {whole milk}",0.00518556176919166,0.542553191489362,0.00955770208439248,2.12336276892076,51
"{hygiene articles,whole milk} => {other vegetables}",0.00518556176919166,0.404761904761905,0.0128113879003559,2.09187248204589,51
"{other vegetables,sugar} => {whole milk}",0.00630401626842908,0.584905660377358,0.0107778342653788,2.28911546749356,62
"{sugar,whole milk} => {other vegetables}",0.00630401626842908,0.418918918918919,0.0150482968988307,2.16503813324623,62
"{long life bakery product,other vegetables} => {whole milk}",0.00569395017793594,0.533333333333333,0.0106761565836299,2.08727948003714,56
"{long life bakery product,whole milk} => {other vegetables}",0.00569395017793594,0.421052631578947,0.0135231316725979,2.17606549215919,56
"{cream cheese,yogurt} => {other vegetables}",0.00528723945094052,0.426229508196721,0.0124046771733604,2.20282039575132,52
"{cream cheese,yogurt} => {whole milk}",0.00660904931367565,0.532786885245902,0.0124046771733604,2.08514087401251,65
"{cream cheese,whole milk} => {yogurt}",0.00660904931367565,0.401234567901235,0.0164717844433147,2.8761967750063,65
"{cream cheese,other vegetables} => {whole milk}",0.0067107269954245,0.488888888888889,0.0137264870360956,1.91333952336738,66
"{cream cheese,whole milk} => {other vegetables}",0.0067107269954245,0.407407407407407,0.0164717844433147,2.10554485120959,66
"{chicken,root vegetables} => {other vegetables}",0.00569395017793594,0.523364485981308,0.0108795119471276,2.7048290696932,56
"{chicken,root vegetables} => {whole milk}",0.00599898322318251,0.551401869158878,0.0108795119471276,2.15799338765522,59
"{chicken,rolls/buns} => {whole milk}",0.00528723945094052,0.547368421052632,0.00965937976614133,2.14220788740654,52
"{chicken,other vegetables} => {whole milk}",0.00843924758515506,0.471590909090909,0.0178952719877987,1.84564130159534,83
"{chicken,whole milk} => {other vegetables}",0.00843924758515506,0.479768786127168,0.0175902389425521,2.47951971180278,83
"{other vegetables,white bread} => {whole milk}",0.00589730554143366,0.42962962962963,0.0137264870360956,1.68141958114103,58
"{chocolate,other vegetables} => {whole milk}",0.00549059481443823,0.432,0.012709710218607,1.69069637883008,54
"{coffee,yogurt} => {whole milk}",0.00508388408744281,0.520833333333333,0.00976105744789019,2.03835886722377,50
"{coffee,other vegetables} => {whole milk}",0.00640569395017794,0.477272727272727,0.013421453990849,1.86787794378324,63
"{frozen vegetables,root vegetables} => {other vegetables}",0.00610066090493137,0.526315789473684,0.0115912557193696,2.72008186519899,60
"{frozen vegetables,root vegetables} => {whole milk}",0.00620233858668022,0.535087719298246,0.0115912557193696,2.09414553095831,61
"{frozen vegetables,yogurt} => {other vegetables}",0.00528723945094052,0.426229508196721,0.0124046771733604,2.20282039575132,52
"{frozen vegetables,yogurt} => {whole milk}",0.00610066090493137,0.491803278688525,0.0124046771733604,1.9247454221654,60
"{frozen vegetables,rolls/buns} => {whole milk}",0.00508388408744281,0.5,0.0101677681748856,1.95682451253482,50
"{frozen vegetables,other vegetables} => {whole milk}",0.00965937976614133,0.542857142857143,0.0177935943060498,2.12455232789495,95
"{frozen vegetables,whole milk} => {other vegetables}",0.00965937976614133,0.472636815920398,0.0204372140315201,2.44266058043989,95
"{beef,root vegetables} => {other vegetables}",0.00793085917641078,0.456140350877193,0.0173868835790544,2.35740428317246,78
"{beef,other vegetables} => {root vegetables}",0.00793085917641078,0.402061855670103,0.0197254702592781,3.68869249115248,78
"{beef,root vegetables} => {whole milk}",0.00803253685815963,0.461988304093567,0.0173868835790544,1.80806007590936,79
"{beef,yogurt} => {other vegetables}",0.00518556176919166,0.443478260869565,0.0116929334011185,2.29196463250246,51
"{beef,yogurt} => {whole milk}",0.00610066090493137,0.521739130434783,0.0116929334011185,2.04190383916677,60
"{beef,rolls/buns} => {other vegetables}",0.0057956278596848,0.425373134328358,0.0136248093543467,2.1983945223959,57
"{beef,rolls/buns} => {whole milk}",0.00681240467717336,0.5,0.0136248093543467,1.95682451253482,67
"{beef,other vegetables} => {whole milk}",0.00925266903914591,0.469072164948454,0.0197254702592781,1.83578382103782,91
"{beef,whole milk} => {other vegetables}",0.00925266903914591,0.435406698564593,0.0212506354855109,2.25024954302826,91
"{curd,whipped/sour cream} => {whole milk}",0.00589730554143366,0.563106796116505,0.0104728012201322,2.20380236363145,58
"{curd,tropical fruit} => {yogurt}",0.00528723945094052,0.514851485148515,0.0102694458566345,3.69064457466155,52
"{curd,tropical fruit} => {other vegetables}",0.00528723945094052,0.514851485148515,0.0102694458566345,2.66083255724416,52
"{curd,tropical fruit} => {whole milk}",0.00650737163192679,0.633663366336634,0.0102694458566345,2.47993601588571,64
"{curd,root vegetables} => {other vegetables}",0.00549059481443823,0.504672897196262,0.0108795119471276,2.60822803148988,54
"{curd,root vegetables} => {whole milk}",0.00620233858668022,0.570093457943925,0.0108795119471276,2.23114570588082,61
"{curd,yogurt} => {whole milk}",0.0100660904931368,0.582352941176471,0.0172852058973055,2.27912502048173,99
"{curd,rolls/buns} => {whole milk}",0.00589730554143366,0.585858585858586,0.0100660904931368,2.29284488337413,58
"{curd,other vegetables} => {whole milk}",0.00986273512963904,0.57396449704142,0.0171835282155567,2.24629559427074,97
"{napkins,yogurt} => {whole milk}",0.00610066090493137,0.495867768595041,0.0123029994916116,1.94065240912544,60
"{napkins,rolls/buns} => {whole milk}",0.00528723945094052,0.452173913043478,0.0116929334011185,1.76964999394453,52
"{napkins,other vegetables} => {whole milk}",0.00681240467717336,0.471830985915493,0.0144382308083376,1.84658087802581,67
"{pork,root vegetables} => {other vegetables}",0.00701576004067107,0.514925373134328,0.0136248093543467,2.66121442184767,69
"{pork,root vegetables} => {whole milk}",0.00681240467717336,0.5,0.0136248093543467,1.95682451253482,67
"{pork,rolls/buns} => {other vegetables}",0.00559227249618709,0.495495495495495,0.011286222674123,2.56079779201166,55
"{pork,rolls/buns} => {whole milk}",0.00620233858668022,0.54954954954955,0.011286222674123,2.15074405882205,61
"{other vegetables,pork} => {whole milk}",0.0101677681748856,0.469483568075117,0.0216573462125064,1.8373939084834,100
"{pork,whole milk} => {other vegetables}",0.0101677681748856,0.458715596330275,0.0221657346212506,2.37071355223766,100
"{frankfurter,tropical fruit} => {whole milk}",0.00518556176919166,0.548387096774194,0.00945602440264362,2.14619462665109,51
"{frankfurter,root vegetables} => {whole milk}",0.00508388408744281,0.5,0.0101677681748856,1.95682451253482,50
"{frankfurter,yogurt} => {whole milk}",0.00620233858668022,0.554545454545455,0.0111845449923742,2.17029627753862,61
"{frankfurter,other vegetables} => {whole milk}",0.00762582613116421,0.462962962962963,0.0164717844433147,1.81187454864335,75
"{bottled beer,yogurt} => {whole milk}",0.00518556176919166,0.56043956043956,0.00925266903914591,2.19336373932474,51
"{bottled beer,other vegetables} => {whole milk}",0.00762582613116421,0.471698113207547,0.0161667513980681,1.8460608608819,75
"{brown bread,tropical fruit} => {whole milk}",0.00569395017793594,0.533333333333333,0.0106761565836299,2.08727948003714,56
"{brown bread,root vegetables} => {whole milk}",0.00569395017793594,0.56,0.0101677681748856,2.191643454039,56
"{brown bread,soda} => {whole milk}",0.00508388408744281,0.403225806451613,0.0126080325368582,1.57808428430227,50
"{brown bread,yogurt} => {whole milk}",0.00711743772241993,0.48951048951049,0.0145399084900864,1.91577225003409,70
"{brown bread,rolls/buns} => {whole milk}",0.00528723945094052,0.419354838709677,0.0126080325368582,1.64120765567436,52
"{brown bread,other vegetables} => {whole milk}",0.00935434672089476,0.5,0.0187086934417895,1.95682451253482,92
"{domestic eggs,margarine} => {whole milk}",0.00518556176919166,0.621951219512195,0.0083375699034062,2.43409878388477,51
"{margarine,root vegetables} => {other vegetables}",0.00589730554143366,0.532110091743119,0.0110828673106253,2.75002772059568,58
"{margarine,yogurt} => {other vegetables}",0.00569395017793594,0.4,0.0142348754448399,2.06726221755123,56
"{margarine,yogurt} => {whole milk}",0.00701576004067107,0.492857142857143,0.0142348754448399,1.92886987664146,69
"{margarine,rolls/buns} => {whole milk}",0.00793085917641078,0.537931034482759,0.0147432638535841,2.10527326865815,78
"{margarine,other vegetables} => {whole milk}",0.00925266903914591,0.469072164948454,0.0197254702592781,1.83578382103782,91
"{butter,domestic eggs} => {whole milk}",0.00599898322318251,0.621052631578947,0.00965937976614133,2.43058202609588,59
"{butter,whipped/sour cream} => {other vegetables}",0.0057956278596848,0.57,0.0101677681748856,2.94584866001051,57
"{butter,whipped/sour cream} => {whole milk}",0.0067107269954245,0.66,0.0101677681748856,2.58300835654596,66
"{butter,citrus fruit} => {whole milk}",0.00508388408744281,0.555555555555556,0.00915099135739705,2.17424945837202,50
"{bottled water,butter} => {whole milk}",0.00538891713268937,0.602272727272727,0.00894763599389934,2.35708407191694,53
"{butter,tropical fruit} => {other vegetables}",0.00549059481443823,0.551020408163265,0.0099644128113879,2.84775917723895,54
"{butter,tropical fruit} => {whole milk}",0.00620233858668022,0.622448979591837,0.0099644128113879,2.43604684213518,61
"{butter,root vegetables} => {other vegetables}",0.00660904931367565,0.511811023622047,0.0129130655821047,2.6451189791502,65
"{butter,root vegetables} => {whole milk}",0.00823589222165735,0.637795275590551,0.0129130655821047,2.49610685850898,81
"{butter,yogurt} => {other vegetables}",0.00640569395017794,0.4375,0.0146415861718353,2.26106805044666,63
"{butter,yogurt} => {whole milk}",0.00935434672089476,0.638888888888889,0.0146415861718353,2.50038687712782,92
"{butter,rolls/buns} => {other vegetables}",0.00569395017793594,0.424242424242424,0.013421453990849,2.19255083679676,56
"{butter,rolls/buns} => {whole milk}",0.00660904931367565,0.492424242424242,0.013421453990849,1.92717565628429,65
"{butter,other vegetables} => {whole milk}",0.0114895780376207,0.573604060913706,0.0200305033045247,2.24488497377091,113
"{butter,whole milk} => {other vegetables}",0.0114895780376207,0.416974169741697,0.02755465175394,2.15498736700452,113
"{newspapers,tropical fruit} => {whole milk}",0.00508388408744281,0.431034482758621,0.0117946110828673,1.68691768321967,50
"{newspapers,root vegetables} => {other vegetables}",0.00599898322318251,0.52212389380531,0.0114895780376207,2.69841749636113,59
"{newspapers,root vegetables} => {whole milk}",0.0057956278596848,0.504424778761062,0.0114895780376207,1.9741415436192,57
"{newspapers,yogurt} => {whole milk}",0.00660904931367565,0.43046357615894,0.0153533299440773,1.68468335516243,65
"{newspapers,other vegetables} => {whole milk}",0.0083375699034062,0.431578947368421,0.0193187595322827,1.689048526609,82
"{domestic eggs,whipped/sour cream} => {other vegetables}",0.00508388408744281,0.510204081632653,0.0099644128113879,2.63681405299902,50
"{domestic eggs,whipped/sour cream} => {whole milk}",0.00569395017793594,0.571428571428571,0.0099644128113879,2.23637087146836,56
"{domestic eggs,pip fruit} => {whole milk}",0.00538891713268937,0.623529411764706,0.00864260294865277,2.44027527445519,53
"{citrus fruit,domestic eggs} => {whole milk}",0.00569395017793594,0.549019607843137,0.0103711235383833,2.14867005297941,56
"{domestic eggs,tropical fruit} => {whole milk}",0.00691408235892222,0.607142857142857,0.0113879003558719,2.37614405093514,68
"{domestic eggs,root vegetables} => {other vegetables}",0.00732079308591764,0.51063829787234,0.0143365531265887,2.63905815006541,72
"{domestic eggs,root vegetables} => {whole milk}",0.00854092526690392,0.595744680851064,0.0143365531265887,2.33153558940319,84
"{domestic eggs,soda} => {other vegetables}",0.00508388408744281,0.409836065573771,0.0124046771733604,2.11809653437626,50
"{domestic eggs,soda} => {whole milk}",0.00518556176919166,0.418032786885246,0.0124046771733604,1.63603360884059,51
"{domestic eggs,yogurt} => {other vegetables}",0.0057956278596848,0.404255319148936,0.0143365531265887,2.08925436880178,57
"{domestic eggs,yogurt} => {whole milk}",0.00772750381291307,0.539007092198582,0.0143365531265887,2.1094845808886,76
"{domestic eggs,rolls/buns} => {whole milk}",0.00660904931367565,0.422077922077922,0.0156583629893238,1.65186484824368,65
"{domestic eggs,other vegetables} => {whole milk}",0.0123029994916116,0.552511415525114,0.0222674123029995,2.16233576270971,121
"{domestic eggs,whole milk} => {other vegetables}",0.0123029994916116,0.410169491525424,0.0299949161159126,2.11981973155677,121
"{bottled water,fruit/vegetable juice} => {whole milk}",0.0057956278596848,0.407142857142857,0.0142348754448399,1.59341424592121,57
"{fruit/vegetable juice,tropical fruit} => {other vegetables}",0.00660904931367565,0.481481481481481,0.0137264870360956,2.48837118779315,65
"{fruit/vegetable juice,tropical fruit} => {whole milk}",0.00599898322318251,0.437037037037037,0.0137264870360956,1.71040957391932,59
"{fruit/vegetable juice,root vegetables} => {other vegetables}",0.00660904931367565,0.550847457627119,0.011997966446365,2.84686534196674,65
"{fruit/vegetable juice,root vegetables} => {whole milk}",0.00650737163192679,0.542372881355932,0.011997966446365,2.12265709834285,64
"{fruit/vegetable juice,yogurt} => {other vegetables}",0.00823589222165735,0.440217391304348,0.0187086934417895,2.27511195138111,81
"{fruit/vegetable juice,yogurt} => {whole milk}",0.00945602440264362,0.505434782608696,0.0187086934417895,1.97809434419281,93
"{fruit/vegetable juice,other vegetables} => {whole milk}",0.0104728012201322,0.497584541062802,0.0210472801220132,1.94737125402016,103
"{pip fruit,whipped/sour cream} => {other vegetables}",0.00559227249618709,0.604395604395604,0.00925266903914591,3.12361049355269,55
"{pip fruit,whipped/sour cream} => {whole milk}",0.00599898322318251,0.648351648351648,0.00925266903914591,2.53742079647372,59
"{citrus fruit,whipped/sour cream} => {other vegetables}",0.00569395017793594,0.523364485981308,0.0108795119471276,2.7048290696932,56
"{citrus fruit,whipped/sour cream} => {whole milk}",0.00630401626842908,0.579439252336449,0.0108795119471276,2.26772186499362,62
"{sausage,whipped/sour cream} => {whole milk}",0.00508388408744281,0.561797752808989,0.00904931367564819,2.19867922756721,50
"{tropical fruit,whipped/sour cream} => {yogurt}",0.00620233858668022,0.448529411764706,0.0138281647178444,3.21522358943577,61
"{tropical fruit,whipped/sour cream} => {other vegetables}",0.00782918149466192,0.566176470588235,0.0138281647178444,2.92608806528392,77
"{tropical fruit,whipped/sour cream} => {whole milk}",0.00793085917641078,0.573529411764706,0.0138281647178444,2.2445928232017,78
"{root vegetables,whipped/sour cream} => {other vegetables}",0.00854092526690392,0.5,0.0170818505338078,2.58407777193904,84
"{root vegetables,whipped/sour cream} => {whole milk}",0.00945602440264362,0.553571428571429,0.0170818505338078,2.16648428173498,93
"{soda,whipped/sour cream} => {whole milk}",0.00549059481443823,0.473684210526316,0.0115912557193696,1.8538337487172,54
"{whipped/sour cream,yogurt} => {other vegetables}",0.0101677681748856,0.490196078431373,0.0207422470767667,2.5334095803324,100
"{whipped/sour cream,yogurt} => {whole milk}",0.0108795119471276,0.524509803921569,0.0207422470767666,2.05274728275711,107
"{rolls/buns,whipped/sour cream} => {other vegetables}",0.0067107269954245,0.458333333333333,0.0146415861718353,2.36873795761079,66
"{rolls/buns,whipped/sour cream} => {whole milk}",0.00782918149466192,0.534722222222222,0.0146415861718353,2.09271510368307,77
"{other vegetables,whipped/sour cream} => {whole milk}",0.0146415861718353,0.507042253521127,0.0288764616166751,1.98438542116207,144
"{whipped/sour cream,whole milk} => {other vegetables}",0.0146415861718353,0.454258675078864,0.0322318251143874,2.34767948996355,144
"{pastry,pip fruit} => {whole milk}",0.00508388408744281,0.476190476190476,0.0106761565836299,1.8636423928903,50
"{citrus fruit,pip fruit} => {tropical fruit}",0.00559227249618709,0.404411764705882,0.0138281647178444,3.85405979252166,55
"{citrus fruit,pip fruit} => {other vegetables}",0.00589730554143366,0.426470588235294,0.0138281647178444,2.20406633488918,58
"{pip fruit,sausage} => {whole milk}",0.00559227249618709,0.518867924528302,0.0107778342653787,2.0306669469701,55
"{pip fruit,tropical fruit} => {other vegetables}",0.00945602440264362,0.462686567164179,0.0204372140315201,2.39123614716747,93
"{pip fruit,tropical fruit} => {whole milk}",0.00843924758515506,0.412935323383085,0.0204372140315201,1.61608392577502,83
"{pip fruit,root vegetables} => {other vegetables}",0.00813421453990849,0.522875816993464,0.015556685307575,2.70230355235456,80
"{pip fruit,root vegetables} => {whole milk}",0.00894763599389934,0.57516339869281,0.015556685307575,2.25098767454986,88
"{pip fruit,yogurt} => {other vegetables}",0.00813421453990849,0.451977401129944,0.0179969496695475,2.33588951135733,80
"{pip fruit,yogurt} => {whole milk}",0.00955770208439248,0.531073446327684,0.0179969496695475,2.07843507546071,94
"{pip fruit,rolls/buns} => {whole milk}",0.00620233858668022,0.445255474452555,0.0139298423995933,1.74257365349816,61
"{other vegetables,pip fruit} => {whole milk}",0.0135231316725979,0.517509727626459,0.026131164209456,2.02535144098935,133
"{pip fruit,whole milk} => {other vegetables}",0.0135231316725979,0.449324324324324,0.0300965937976614,2.32217799775603,133
"{pastry,sausage} => {whole milk}",0.00569395017793594,0.455284552845528,0.0125063548551093,1.78182394637317,56
"{pastry,tropical fruit} => {whole milk}",0.0067107269954245,0.507692307692308,0.0132180986273513,1.98692950503535,66
"{pastry,root vegetables} => {other vegetables}",0.00589730554143366,0.537037037037037,0.0109811896288765,2.77549094023083,58
"{pastry,root vegetables} => {whole milk}",0.00569395017793594,0.518518518518518,0.0109811896288765,2.02929949448055,56
"{pastry,yogurt} => {whole milk}",0.00915099135739705,0.517241379310345,0.017691916624301,2.02430121986361,90
"{pastry,rolls/buns} => {whole milk}",0.00854092526690392,0.407766990291262,0.0209456024402644,1.59585688400898,84
"{other vegetables,pastry} => {whole milk}",0.010574478901881,0.468468468468468,0.0225724453482461,1.83342116489749,104
"{bottled water,citrus fruit} => {whole milk}",0.00589730554143366,0.43609022556391,0.0135231316725979,1.70670408612059,58
"{citrus fruit,tropical fruit} => {other vegetables}",0.0090493136756482,0.454081632653061,0.0199288256227758,2.34676450716913,89
"{citrus fruit,tropical fruit} => {whole milk}",0.0090493136756482,0.454081632653061,0.0199288256227758,1.77711613893468,89
"{citrus fruit,root vegetables} => {other vegetables}",0.0103711235383833,0.586206896551724,0.017691916624301,3.02960842227336,102
"{citrus fruit,root vegetables} => {whole milk}",0.00915099135739705,0.517241379310345,0.017691916624301,2.02430121986361,90
"{citrus fruit,yogurt} => {whole milk}",0.0102694458566345,0.474178403755869,0.0216573462125064,1.85576784756823,101
"{citrus fruit,rolls/buns} => {whole milk}",0.00721911540416879,0.43030303030303,0.0167768174885613,1.68405503502997,71
"{citrus fruit,other vegetables} => {whole milk}",0.0130147432638536,0.450704225352113,0.0288764616166751,1.76389815214406,128
"{citrus fruit,whole milk} => {other vegetables}",0.0130147432638536,0.426666666666667,0.0305033045246568,2.20507969872132,128
"{root vegetables,shopping bags} => {other vegetables}",0.00660904931367565,0.515873015873016,0.0128113879003559,2.66611198692124,65
"{root vegetables,shopping bags} => {whole milk}",0.00528723945094052,0.412698412698413,0.0128113879003559,1.61515674050493,52
"{bottled water,sausage} => {other vegetables}",0.00508388408744281,0.423728813559322,0.011997966446365,2.18989641689749,50
"{sausage,tropical fruit} => {other vegetables}",0.00599898322318251,0.430656934306569,0.0139298423995933,2.22570202254604,59
"{sausage,tropical fruit} => {whole milk}",0.00721911540416879,0.518248175182482,0.0139298423995933,2.02824146554704,71
"{root vegetables,sausage} => {other vegetables}",0.00681240467717336,0.45578231292517,0.0149466192170819,2.3555538873458,67
"{root vegetables,sausage} => {whole milk}",0.00772750381291307,0.517006802721088,0.0149466192170819,2.02338316942376,76
"{sausage,yogurt} => {other vegetables}",0.00813421453990849,0.414507772020725,0.0196237925775292,2.14224063994947,80
"{sausage,yogurt} => {whole milk}",0.00874428063040163,0.44559585492228,0.0196237925775292,1.74390578319165,86
"{bottled water,tropical fruit} => {whole milk}",0.00803253685815963,0.434065934065934,0.0185053380782918,1.69878171967308,79
"{bottled water,root vegetables} => {other vegetables}",0.00701576004067107,0.448051948051948,0.0156583629893238,2.31560215927005,69
"{bottled water,root vegetables} => {whole milk}",0.00732079308591764,0.467532467532468,0.0156583629893238,1.82975798574684,72
"{bottled water,yogurt} => {whole milk}",0.00965937976614133,0.420353982300885,0.0229791560752415,1.645117953016,95
"{bottled water,other vegetables} => {whole milk}",0.0107778342653787,0.434426229508197,0.0248093543467209,1.70019178957943,106
"{root vegetables,tropical fruit} => {other vegetables}",0.0123029994916116,0.584541062801932,0.0210472801220132,3.0209991343442,121
"{root vegetables,tropical fruit} => {whole milk}",0.011997966446365,0.570048309178744,0.0210472801220132,2.23096900945999,118
"{tropical fruit,yogurt} => {other vegetables}",0.0123029994916116,0.420138888888889,0.0292831723436706,2.17134312780989,121
"{tropical fruit,yogurt} => {whole milk}",0.0151499745805796,0.517361111111111,0.0292831723436706,2.02476980810894,149
"{rolls/buns,tropical fruit} => {whole milk}",0.0109811896288765,0.446280991735537,0.0246059989832232,1.7465871682129,108
"{other vegetables,tropical fruit} => {whole milk}",0.0170818505338078,0.475920679886686,0.0358922216573462,1.86258650484901,168
"{tropical fruit,whole milk} => {other vegetables}",0.0170818505338078,0.403846153846154,0.0422979156075241,2.08713973887384,168
"{root vegetables,soda} => {other vegetables}",0.00823589222165735,0.442622950819672,0.0186070157600407,2.28754425712637,81
"{root vegetables,soda} => {whole milk}",0.00813421453990849,0.437158469945355,0.0186070157600407,1.71088481970257,80
"{root vegetables,yogurt} => {other vegetables}",0.0129130655821047,0.5,0.0258261311642095,2.58407777193904,127
"{root vegetables,yogurt} => {whole milk}",0.0145399084900864,0.562992125984252,0.0258261311642095,2.20335358498015,143
"{rolls/buns,root vegetables} => {other vegetables}",0.0122013218098627,0.502092050209205,0.0243009659379766,2.59488981282582,120
"{rolls/buns,root vegetables} => {whole milk}",0.012709710218607,0.523012552301255,0.0243009659379766,2.04688756541299,125
"{other vegetables,root vegetables} => {whole milk}",0.0231825114387392,0.489270386266094,0.047381799694967,1.91483257020575,228
"{root vegetables,whole milk} => {other vegetables}",0.0231825114387392,0.474012474012474,0.0489069649211998,2.44977019543494,228
"{other vegetables,soda} => {whole milk}",0.0139298423995933,0.425465838509317,0.0327402135231317,1.66512396408242,137
"{rolls/buns,yogurt} => {whole milk}",0.015556685307575,0.452662721893491,0.0343670564311134,1.77156302022383,153
"{other vegetables,yogurt} => {whole milk}",0.0222674123029995,0.51288056206089,0.0434163701067616,2.00723451168677,219
"{other vegetables,rolls/buns} => {whole milk}",0.0178952719877987,0.420047732696897,0.0426029486527707,1.64391939955192,176
"{fruit/vegetable juice,other vegetables,yogurt} => {whole milk}",0.00508388408744281,0.617283950617284,0.00823589222165735,2.41583273152447,50
"{fruit/vegetable juice,whole milk,yogurt} => {other vegetables}",0.00508388408744281,0.537634408602151,0.00945602440264362,2.77857824939682,50
"{fruit/vegetable juice,other vegetables,whole milk} => {yogurt}",0.00508388408744281,0.485436893203884,0.0104728012201322,3.47978997424212,50
"{other vegetables,root vegetables,whipped/sour cream} => {whole milk}",0.00518556176919166,0.607142857142857,0.00854092526690392,2.37614405093514,51
